protein.Accession,protein.Description,protein.seqCover(%)_KOGSK_Rep1,protein.fmolOnColumn_KOGSK_Rep1,protein.ngramOnColumn_KOGSK_Rep1,protein.seqCover(%)_KOGSK_Rep2,protein.fmolOnColumn_KOGSK_Rep2,protein.ngramOnColumn_KOGSK_Rep2,protein.seqCover(%)_KOGSK_Rep3,protein.fmolOnColumn_KOGSK_Rep3,protein.ngramOnColumn_KOGSK_Rep3,protein.seqCover(%)_WT_Rep1,protein.fmolOnColumn_WT_Rep1,protein.ngramOnColumn_WT_Rep1,protein.seqCover(%)_WT_Rep2,protein.fmolOnColumn_WT_Rep2,protein.ngramOnColumn_WT_Rep2,protein.seqCover(%)_WT_Rep3,protein.fmolOnColumn_WT_Rep3,protein.ngramOnColumn_WT_Rep3
RS27_HUMAN,40S ribosomal protein S27 OS=Homo sapiens GN=RPS27 PE=1 SV=3,35.71,730.5791,7.1621,NaN,NaN,NaN,44.05,165.7209,1.6246,35.71,147.4499,1.4455,34.52,83.9126,0.8226,35.71,465.5286,4.5637
CBWD5_HUMAN,COBW domain-containing protein 5 OS=Homo sapiens GN=CBWD5 PE=2 SV=1,31.39,NaN,NaN,23.54,NaN,NaN,NaN,NaN,NaN,25.57,NaN,NaN,21.01,NaN,NaN,20.51,NaN,NaN
UXT_HUMAN,Protein UXT OS=Homo sapiens GN=UXT PE=1 SV=1,35.67,163.6593,2.9955,NaN,NaN,NaN,31.21,14.4069,0.2637,40.76,13.9289,0.2549,54.14,27.9158,0.5109,35.67,52.3282,0.9578
CDC37_HUMAN,Hsp90 co-chaperone Cdc37 OS=Homo sapiens GN=CDC37 PE=1 SV=1,46.83,219.0963,9.8553,NaN,NaN,NaN,38.62,98.8394,4.446,35.71,46.6949,2.1004,38.1,48.4195,2.178,39.68,149.6945,6.7335
SYHM_HUMAN,Probable histidine--tRNA ligase_ mitochondrial OS=Homo sapiens GN=HARS2 PE=1 SV=1,39.13,33.3216,1.9203,NaN,NaN,NaN,25.3,4.9665,0.2862,15.22,4.4325,0.2554,24.9,7.5162,0.4332,19.17,8.2578,0.4759
PSA6_HUMAN,Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1,34.96,273.3112,7.6133,34.96,415.1859,11.5653,NaN,NaN,NaN,26.83,132.294,3.6851,33.33,145.1336,4.0428,24.39,206.4975,5.7521
BRE1B_HUMAN,E3 ubiquitin-protein ligase BRE1B OS=Homo sapiens GN=RNF40 PE=1 SV=4,28.87,191.1918,21.8708,NaN,NaN,NaN,36.06,86.995,9.9515,27.67,50.7401,5.8043,26.87,86.5951,9.9058,32.57,394.032,45.0741
SPAT5_HUMAN,Spermatogenesis-associated protein 5 OS=Homo sapiens GN=SPATA5 PE=1 SV=3,44.34,60.9601,6.0065,37.07,20.5473,2.0246,NaN,NaN,NaN,36.06,8.3476,0.8225,40.54,171.2007,16.8687,36.73,37.3587,3.681
SNX6_HUMAN,Sorting nexin-6 OS=Homo sapiens GN=SNX6 PE=1 SV=1,38.42,81.7689,3.8377,NaN,NaN,NaN,48.77,57.7459,2.7102,24.14,27.2647,1.2796,26.35,22.4206,1.0523,22.17,59.5656,2.7957
RS19_HUMAN,40S ribosomal protein S19 OS=Homo sapiens GN=RPS19 PE=1 SV=2,60,497.8393,7.9956,NaN,NaN,NaN,80.69,208.6203,3.3506,57.93,277.4611,4.4562,56.55,247.1831,3.9699,60.69,250.0088,4.0153
1B08_HUMAN,HLA class I histocompatibility antigen_ B-8 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,43.92,NaN,NaN,NaN,NaN,NaN,20.72,1.7724,0.0721,19.61,NaN,NaN,27.35,11.9092,0.4844,47.51,9.1768,0.3732
GLYC_HUMAN,Serine hydroxymethyltransferase_ cytosolic OS=Homo sapiens GN=SHMT1 PE=1 SV=1,35.2,125.9473,6.7574,27.12,8.2214,0.4411,20.29,31.6516,1.6982,NaN,NaN,NaN,20.7,49.1331,2.6361,19.46,50.9641,2.7344
OGFR_HUMAN,Opioid growth factor receptor OS=Homo sapiens GN=OGFR PE=1 SV=3,47.12,136.4038,10.0796,NaN,NaN,NaN,25.55,61.7298,4.5615,28.21,14.9514,1.1048,24.67,93.8363,6.934,40.92,52.3903,3.8714
SAFB1_HUMAN,Scaffold attachment factor B1 OS=Homo sapiens GN=SAFB PE=1 SV=4,27.65,163.6158,16.8685,NaN,NaN,NaN,27.1,44.4102,4.5786,29.07,57.5157,5.9297,22.62,92.9668,9.5847,36.07,169.0288,17.4265
GRWD1_HUMAN,Glutamate-rich WD repeat-containing protein 1 OS=Homo sapiens GN=GRWD1 PE=1 SV=1,23.32,149.8735,7.4665,NaN,NaN,NaN,22.42,48.1088,2.3967,34.98,29.7707,1.4831,29.15,38.4485,1.9154,26.01,45.4781,2.2656
ADT4_HUMAN,ADP/ATP translocase 4 OS=Homo sapiens GN=SLC25A31 PE=2 SV=1,32.06,3.1395,0.1108,47.94,13.2534,0.4679,34.92,94.1824,3.3253,NaN,NaN,NaN,28.57,4.1978,0.1482,30.48,23.6324,0.8344
S23IP_HUMAN,SEC23-interacting protein OS=Homo sapiens GN=SEC23IP PE=1 SV=1,21.8,100.8823,11.2747,NaN,NaN,NaN,20.4,44.6171,4.9865,20.4,21.0307,2.3504,14.1,36.3041,4.0574,18.5,82.1227,9.1781
HNRPQ_HUMAN,Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2,47.83,737.718,51.5155,NaN,NaN,NaN,45.1,255.6292,17.8508,40.29,283.7893,19.8172,45.91,227.8555,15.9113,53.45,588.4294,41.0905
DEFI6_HUMAN,Differentially expressed in FDCP 6 homolog OS=Homo sapiens GN=DEF6 PE=1 SV=1,25.99,33.0737,2.4634,20.44,7.0963,0.5285,26.62,6.6289,0.4937,NaN,NaN,NaN,33.91,20.5569,1.5311,24.56,9.561,0.7121
DPYL2_HUMAN,Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1,35.14,83.0337,5.2104,NaN,NaN,NaN,48.95,42.5626,2.6708,19.58,26.0997,1.6378,24.3,39.5736,2.4832,37.41,55.5302,3.4845
NDUF3_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3 OS=Homo sapiens GN=NDUFAF3 PE=1 SV=1,13.04,29.033,0.5975,NaN,NaN,NaN,29.89,17.4061,0.3582,41.3,14.6364,0.3012,31.52,13.1006,0.2696,13.04,37.5491,0.7727
MRRP3_HUMAN,Mitochondrial ribonuclease P protein 3 OS=Homo sapiens GN=KIAA0391 PE=1 SV=2,24.01,68.1412,4.6375,NaN,NaN,NaN,30.19,26.2639,1.7874,28.82,102.1344,6.9509,24.53,23.2571,1.5828,17.67,25.6394,1.7449
KRT38_HUMAN,Keratin_ type I cuticular Ha8 OS=Homo sapiens GN=KRT38 PE=2 SV=3,13.6,6.8193,0.3551,NaN,NaN,NaN,7.89,0.818,0.0426,3.07,NaN,NaN,22.59,9.5576,0.4977,5.04,18.0699,0.941
2ABD_HUMAN,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform OS=Homo sapiens GN=PPP2R2D PE=2 SV=1,23.18,1.3055,0.0687,NaN,NaN,NaN,34.66,3.8623,0.2032,30.24,2.2178,0.1167,21.19,8.9962,0.4733,17,1.028,0.0541
IPO9_HUMAN,Importin-9 OS=Homo sapiens GN=IPO9 PE=1 SV=3,17.87,212.7673,24.8794,NaN,NaN,NaN,19.21,52.6633,6.1581,8.07,28.19,3.2963,13.54,61.0916,7.1436,16.04,89.4437,10.4589
ETFA_HUMAN,Electron transfer flavoprotein subunit alpha_ mitochondrial OS=Homo sapiens GN=ETFA PE=1 SV=1,57.66,612.4763,21.695,NaN,NaN,NaN,56.46,175.6905,6.2233,37.54,49.6077,1.7572,44.14,164.4943,5.8267,43.84,132.1814,4.6821
CROCC_HUMAN,Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1,29.75,235.4497,53.8998,NaN,NaN,NaN,30.39,215.4647,49.3248,25.73,74.3128,17.0119,26.97,124.4,28.478,27.76,328.6624,75.2383
GSHB_HUMAN,Glutathione synthetase OS=Homo sapiens GN=GSS PE=1 SV=1,49.58,167.4253,8.7992,NaN,NaN,NaN,32.49,451.9099,23.7506,25.11,53.4551,2.8094,35.02,74.0256,3.8905,43.88,132.8573,6.9824
ST1A2_HUMAN,Sulfotransferase 1A2 OS=Homo sapiens GN=SULT1A2 PE=1 SV=2,44.75,47.8182,1.6461,18.98,NaN,NaN,37.97,7.2296,0.2489,23.73,19.9842,0.6879,NaN,NaN,NaN,32.2,13.0236,0.4483
DUT_HUMAN,Deoxyuridine 5'-triphosphate nucleotidohydrolase_ mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4,26.59,72.9796,1.9594,38.49,2.2501,0.0604,NaN,NaN,NaN,30.16,24.2668,0.6515,34.92,28.5021,0.7652,21.83,28.8837,0.7755
CC124_HUMAN,Coiled-coil domain-containing protein 124 OS=Homo sapiens GN=CCDC124 PE=1 SV=1,46.64,136.9854,3.5391,NaN,NaN,NaN,33.63,52.6954,1.3614,46.64,48.9193,1.2638,32.29,38.3038,0.9896,48.43,143.7744,3.7145
1B82_HUMAN,HLA class I histocompatibility antigen_ B-82 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1,33.98,NaN,NaN,NaN,NaN,NaN,19.89,NaN,NaN,19.34,NaN,NaN,20.99,NaN,NaN,41.71,NaN,NaN
PGP_HUMAN,Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1,21.81,57.5074,1.9818,9.97,26.718,0.9208,10.9,11.7698,0.4056,23.99,20.5702,0.7089,NaN,NaN,NaN,11.84,22.3183,0.7691
NOC2L_HUMAN,Nucleolar complex protein 2 homolog OS=Homo sapiens GN=NOC2L PE=1 SV=4,21.76,132.8057,11.3914,29.37,89.6465,7.6894,NaN,NaN,NaN,13.89,117.8659,10.1099,18.02,171.681,14.7259,21.76,70.6763,6.0623
1A23_HUMAN,HLA class I histocompatibility antigen_ A-23 alpha chain OS=Homo sapiens GN=HLA-A PE=1 SV=1,40.82,1.5864,0.0651,NaN,NaN,NaN,18.9,4.3261,0.1774,16.71,4.58,0.1879,30.68,25.5814,1.0493,57.81,NaN,NaN
WDR61_HUMAN,WD repeat-containing protein 61 OS=Homo sapiens GN=WDR61 PE=1 SV=1,44.59,90.4984,3.0545,NaN,NaN,NaN,41.64,15.1379,0.5109,14.75,14.2063,0.4795,16.07,16.5521,0.5587,21.64,40.3078,1.3605
LBR_HUMAN,Lamin-B receptor OS=Homo sapiens GN=LBR PE=1 SV=2,16.91,190.9627,13.5779,NaN,NaN,NaN,26.99,51.5878,3.668,13.01,72.8196,5.1777,13.17,52.4327,3.7281,17.56,108.3041,7.7007
RS27L_HUMAN,40S ribosomal protein S27-like OS=Homo sapiens GN=RPS27L PE=1 SV=3,34.52,160.7009,1.578,NaN,NaN,NaN,34.52,20.2819,0.1992,34.52,42.0706,0.4131,34.52,55.068,0.5407,35.71,216.1792,2.1227
RM02_HUMAN,39S ribosomal protein L2_ mitochondrial OS=Homo sapiens GN=MRPL2 PE=1 SV=2,33.11,57.8269,1.9422,NaN,NaN,NaN,35.74,13.3625,0.4488,18.03,12.8196,0.4306,16.07,17.9207,0.6019,19.67,48.6568,1.6342
RL18A_HUMAN,60S ribosomal protein L18a OS=Homo sapiens GN=RPL18A PE=1 SV=2,40.34,591.8698,12.4574,47.16,49.6915,1.0459,NaN,NaN,NaN,53.41,254.8454,5.3639,31.25,133.4896,2.8096,42.61,444.9288,9.3647
TOM34_HUMAN,Mitochondrial import receptor subunit TOM34 OS=Homo sapiens GN=TOMM34 PE=1 SV=2,43.37,192.0335,6.7132,NaN,NaN,NaN,55.02,107.228,3.7485,48.87,27.4957,0.9612,39.81,27.0382,0.9452,43.37,83.4085,2.9158
GCP2_HUMAN,Gamma-tubulin complex component 2 OS=Homo sapiens GN=TUBGCP2 PE=1 SV=2,28.38,48.1753,4.9698,NaN,NaN,NaN,29.49,5.9207,0.6108,18.07,22.498,2.3209,20.84,52.1071,5.3755,28.94,38.2522,3.9462
VATC1_HUMAN,V-type proton ATPase subunit C 1 OS=Homo sapiens GN=ATP6V1C1 PE=1 SV=4,33.51,43.2983,1.91,28.8,49.3653,2.1776,22.25,16.7464,0.7387,20.16,26.8572,1.1847,NaN,NaN,NaN,15.71,38.7193,1.708
SIN3A_HUMAN,Paired amphipathic helix protein Sin3a OS=Homo sapiens GN=SIN3A PE=1 SV=2,20.66,57.4854,8.3914,NaN,NaN,NaN,22.55,71.6044,10.4524,20.19,59.3097,8.6577,13.12,46.0411,6.7208,16.03,151.5973,22.1292
ELOB_HUMAN,Transcription elongation factor B polypeptide 2 OS=Homo sapiens GN=TCEB2 PE=1 SV=1,44.92,166.6351,2.2074,NaN,NaN,NaN,29.66,34.1545,0.4524,44.07,55.4815,0.735,37.29,92.5846,1.2265,37.29,91.5848,1.2132
RHG01_HUMAN,Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,52.85,647.7836,32.7084,30.75,85.3123,4.3077,41,66.9457,3.3803,NaN,NaN,NaN,39.64,116.8409,5.8996,25.28,52.288,2.6402
1C05_HUMAN,HLA class I histocompatibility antigen_ Cw-5 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=1,5.19,NaN,NaN,NaN,NaN,NaN,22.4,NaN,NaN,15.57,NaN,NaN,17.21,12.5121,0.5176,28.14,1.2378,0.0512
CHD3_HUMAN,Chromodomain-helicase-DNA-binding protein 3 OS=Homo sapiens GN=CHD3 PE=1 SV=3,13.9,16.2973,3.7179,NaN,NaN,NaN,21.2,21.5945,4.9264,15.3,30.0197,6.8484,12,22.6827,5.1746,16.7,86.4587,19.724
MSH6_HUMAN,DNA mismatch repair protein Msh6 OS=Homo sapiens GN=MSH6 PE=1 SV=2,28.53,147.9991,22.8823,NaN,NaN,NaN,26.1,21.1609,3.2717,15.37,21.4853,3.3219,23.68,49.4924,7.652,27.28,58.1509,8.9908
BRI3B_HUMAN,BRI3-binding protein OS=Homo sapiens GN=BRI3BP PE=1 SV=1,26.69,109.3353,3.0559,NaN,NaN,NaN,28.29,31.5782,0.8826,20.72,14.0711,0.3933,29.48,53.2271,1.4877,27.09,46.8055,1.3082
RIR2_HUMAN,Ribonucleoside-diphosphate reductase subunit M2 OS=Homo sapiens GN=RRM2 PE=1 SV=1,58.35,225.3985,10.1797,NaN,NaN,NaN,61.44,250.7468,11.3245,50.64,101.0894,4.5655,39.59,105.347,4.7578,47.3,829.3579,37.4562
SPA5L_HUMAN,Spermatogenesis-associated protein 5-like protein 1 OS=Homo sapiens GN=SPATA5L1 PE=1 SV=2,33.6,69.6231,5.6789,21.91,37.0018,3.0181,NaN,NaN,NaN,19.92,8.5793,0.6998,18.99,7.478,0.6099,23.9,45.3761,3.7011
PAIP1_HUMAN,Polyadenylate-binding protein-interacting protein 1 OS=Homo sapiens GN=PAIP1 PE=1 SV=1,21.92,76.5265,4.131,NaN,NaN,NaN,17.95,141.0296,7.6129,11.06,24.6222,1.3291,11.48,40.6878,2.1964,15.87,129.7522,7.0041
HNRPR_HUMAN,Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens GN=HNRNPR PE=1 SV=1,30.81,303.9175,21.6475,NaN,NaN,NaN,45.97,216.9262,15.4513,34.28,72.0427,5.1315,37.12,157.2909,11.2036,43.76,187.3216,13.3426
RBGPR_HUMAN,Rab3 GTPase-activating protein non-catalytic subunit OS=Homo sapiens GN=RAB3GAP2 PE=1 SV=1,24.34,93.3934,14.7171,33.31,25.4941,4.0174,19.02,16.9437,2.67,NaN,NaN,NaN,22.76,143.8221,22.6637,15.08,13.2497,2.0879
GGCT_HUMAN,Gamma-glutamylcyclotransferase OS=Homo sapiens GN=GGCT PE=1 SV=1,34.04,63.7126,1.353,NaN,NaN,NaN,38.3,20.8522,0.4428,26.6,21.4271,0.455,32.98,38.803,0.824,37.23,110.6946,2.3507
ANR11_HUMAN,Ankyrin repeat domain-containing protein 11 OS=Homo sapiens GN=ANKRD11 PE=1 SV=3,15.28,125.1108,37.5077,NaN,NaN,NaN,18.06,48.1928,14.448,16.07,29.4773,8.8372,14.61,25.7387,7.7164,15.85,50.7585,15.2172
NOL7_HUMAN,Nucleolar protein 7 OS=Homo sapiens GN=NOL7 PE=1 SV=2,18.29,40.6592,1.1988,26.07,4.3456,0.1281,NaN,NaN,NaN,18.29,26.2811,0.7749,24.9,32.9934,0.9728,34.63,63.4633,1.8711
PAK3_HUMAN,Serine/threonine-protein kinase PAK 3 OS=Homo sapiens GN=PAK3 PE=1 SV=2,NaN,NaN,NaN,22.9,0.8568,0.0537,26.48,10.0026,0.6267,13.77,4.0021,0.2507,22.9,30.0912,1.8853,16.46,1.0395,0.0651
TRUA_HUMAN,tRNA pseudouridine synthase A_ mitochondrial OS=Homo sapiens GN=PUS1 PE=1 SV=3,33.96,112.7382,5.416,NaN,NaN,NaN,35.13,44.257,2.1261,33.72,41.7162,2.0041,33.96,31.4416,1.5105,32.08,42.0166,2.0185
TMM70_HUMAN,Transmembrane protein 70_ mitochondrial OS=Homo sapiens GN=TMEM70 PE=1 SV=2,40.38,165.3333,4.8179,25.38,19.1759,0.5588,NaN,NaN,NaN,26.15,25.2835,0.7368,25,36.5807,1.066,40.38,61.9437,1.8051
NDUC2_HUMAN,NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens GN=NDUFC2 PE=1 SV=1,42.86,79.5689,1.1334,NaN,NaN,NaN,51.26,48.9082,0.6967,32.77,14.8889,0.2121,41.18,13.9426,0.1986,40.34,42.1921,0.601
ARHL2_HUMAN,Poly(ADP-ribose) glycohydrolase ARH3 OS=Homo sapiens GN=ADPRHL2 PE=1 SV=1,25.34,72.1015,2.8328,NaN,NaN,NaN,29.48,19.6953,0.7738,17.63,14.0282,0.5512,15.15,11.7224,0.4606,30.85,34.8633,1.3697
NELFD_HUMAN,Negative elongation factor C/D OS=Homo sapiens GN=NELFCD PE=1 SV=2,20.17,82.2563,5.5008,NaN,NaN,NaN,21.69,28.3706,1.8973,14.41,32.1706,2.1514,20.34,21.5968,1.4443,15.76,25.5375,1.7078
CHM2A_HUMAN,Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1,32.88,149.0915,3.7428,NaN,NaN,NaN,21.62,40.3294,1.0124,22.97,13.8259,0.3471,17.12,48.2817,1.2121,31.98,56.1977,1.4108
RS4Y1_HUMAN,40S ribosomal protein S4_ Y isoform 1 OS=Homo sapiens GN=RPS4Y1 PE=1 SV=2,37.26,16.9351,0.5027,51.33,21.9323,0.651,NaN,NaN,NaN,34.22,15.2385,0.4523,29.66,11.8068,0.3505,38.78,78.3517,2.3258
RHOC_HUMAN,Rho-related GTP-binding protein RhoC OS=Homo sapiens GN=RHOC PE=1 SV=1,37.31,58.3776,1.3047,NaN,NaN,NaN,9.84,NaN,NaN,7.25,NaN,NaN,11.92,NaN,NaN,13.47,50.7013,1.1331
TRA2A_HUMAN,Transformer-2 protein homolog alpha OS=Homo sapiens GN=TRA2A PE=1 SV=1,28.37,202.8952,6.6439,NaN,NaN,NaN,21.28,18.8126,0.616,18.79,24.9069,0.8156,37.23,88.7561,2.9064,43.26,211.0561,6.9112
CENPV_HUMAN,Centromere protein V OS=Homo sapiens GN=CENPV PE=1 SV=1,24,51.8006,1.5749,33.09,14.0398,0.4268,33.09,30.8786,0.9388,NaN,NaN,NaN,30.18,13.2122,0.4017,33.45,26.981,0.8203
G45IP_HUMAN,Growth arrest and DNA damage-inducible proteins-interacting protein 1 OS=Homo sapiens GN=GADD45GIP1 PE=1 SV=1,45.5,41.8205,1.0639,NaN,NaN,NaN,44.59,30.9022,0.7862,39.64,8.8412,0.2249,54.05,22.4829,0.572,52.25,37.447,0.9527
HDDC2_HUMAN,HD domain-containing protein 2 OS=Homo sapiens GN=HDDC2 PE=1 SV=1,28.92,50.2271,1.1834,NaN,NaN,NaN,30.39,37.0593,0.8732,22.55,8.6112,0.2029,27.94,18.2841,0.4308,40.69,21.2527,0.5007
AFG32_HUMAN,AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2,34.76,109.76,9.773,NaN,NaN,NaN,35.13,62.2519,5.5429,30.11,49.9021,4.4433,22.33,55.8519,4.9731,26.98,68.3064,6.082
KRT35_HUMAN,Keratin_ type I cuticular Ha5 OS=Homo sapiens GN=KRT35 PE=2 SV=5,17.14,55.6247,2.8743,NaN,NaN,NaN,31.43,24.1923,1.2501,7.47,2.5942,0.134,24.62,21.4238,1.107,14.29,45.236,2.3375
MK67I_HUMAN,MKI67 FHA domain-interacting nucleolar phosphoprotein OS=Homo sapiens GN=NIFK PE=1 SV=1,49.15,261.0724,8.9791,NaN,NaN,NaN,41.98,71.1954,2.4486,38.23,56.1097,1.9298,41.98,121.2756,4.1711,30.38,143.1169,4.9223
RT15_HUMAN,28S ribosomal protein S15_ mitochondrial OS=Homo sapiens GN=MRPS15 PE=1 SV=1,25.29,76.5404,2.2929,NaN,NaN,NaN,25.29,10.5112,0.3149,24.9,17.8521,0.5348,34.63,27.3841,0.8203,35.8,64.8095,1.9414
TADBP_HUMAN,TAR DNA-binding protein 43 OS=Homo sapiens GN=TARDBP PE=1 SV=1,27.29,240.5193,10.8431,32.61,122.6061,5.5273,NaN,NaN,NaN,15.22,52.9475,2.387,24.88,165.6883,7.4696,21.26,270.1937,12.1809
1C12_HUMAN,HLA class I histocompatibility antigen_ Cw-12 alpha chain OS=Homo sapiens GN=HLA-C PE=2 SV=2,14.21,NaN,NaN,NaN,NaN,NaN,27.32,0.2628,0.0109,22.4,4.8144,0.199,22.95,9.4606,0.3911,31.42,5.4367,0.2248
PHS_HUMAN,Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens GN=PCBD1 PE=1 SV=2,58.65,255.9809,3.0863,27.88,36.9996,0.4461,NaN,NaN,NaN,60.58,47.5581,0.5734,28.85,34.8521,0.4202,62.5,204.8351,2.4696
BOP1_HUMAN,Ribosome biogenesis protein BOP1 OS=Homo sapiens GN=BOP1 PE=1 SV=2,26.41,167.5295,14.1251,NaN,NaN,NaN,23.32,69.0322,5.8204,21.31,41.9211,3.5345,25.2,60.2737,5.0819,28.42,99.2472,8.3679
MTUS2_HUMAN,Microtubule-associated tumor suppressor candidate 2 OS=Homo sapiens GN=MTUS2 PE=1 SV=3,21.26,227.5402,34.3571,NaN,NaN,NaN,23.52,35.176,5.3113,19.58,140.7456,21.2517,14.17,94.1061,14.2094,14.61,205.6455,31.0511
SCRIB_HUMAN,Protein scribble homolog OS=Homo sapiens GN=SCRIB PE=1 SV=4,27.42,120.494,21.1894,NaN,NaN,NaN,22.64,19.1334,3.3647,17.3,28.791,5.063,14.05,68.8244,12.1031,20.49,88.628,15.5856
VPS36_HUMAN,Vacuolar protein-sorting-associated protein 36 OS=Homo sapiens GN=VPS36 PE=1 SV=1,32.12,50.7169,2.2367,41.19,11.5761,0.5105,NaN,NaN,NaN,45.34,17.4915,0.7714,46.37,35.4639,1.564,55.44,32.314,1.4251
MP2K3_HUMAN,Dual specificity mitogen-activated protein kinase kinase 3 OS=Homo sapiens GN=MAP2K3 PE=1 SV=2,35.45,45.6103,1.8089,NaN,NaN,NaN,28.53,9.9354,0.394,21.61,19.8063,0.7855,26.8,85.0277,3.3723,21.9,49.8048,1.9753
INO1_HUMAN,Inositol-3-phosphate synthase 1 OS=Homo sapiens GN=ISYNA1 PE=1 SV=1,22.4,114.3228,7.0401,17.92,18.735,1.1537,10.22,15.6839,0.9658,NaN,NaN,NaN,19.89,53.2656,3.2802,12.72,77.1172,4.749
NFKB2_HUMAN,Nuclear factor NF-kappa-B p100 subunit OS=Homo sapiens GN=NFKB2 PE=1 SV=4,20.89,136.9242,13.341,21.22,121.6637,11.8541,22.33,40.5745,3.9533,NaN,NaN,NaN,16.22,29.7004,2.8938,22.78,29.2738,2.8523
RL14_HUMAN,60S ribosomal protein L14 OS=Homo sapiens GN=RPL14 PE=1 SV=4,50.23,858.7501,20.2201,NaN,NaN,NaN,45.12,172.2566,4.0559,31.63,196.0937,4.6172,46.05,232.1147,5.4654,37.67,574.2711,13.5218
MCA3_HUMAN,Eukaryotic translation elongation factor 1 epsilon-1 OS=Homo sapiens GN=EEF1E1 PE=1 SV=1,36.78,138.8923,2.7595,NaN,NaN,NaN,17.82,12.8933,0.2562,17.82,17.7359,0.3524,27.59,43.5732,0.8657,40.23,47.1802,0.9374
NAA25_HUMAN,N-alpha-acetyltransferase 25_ NatB auxiliary subunit OS=Homo sapiens GN=NAA25 PE=1 SV=1,28.4,111.6789,12.6426,NaN,NaN,NaN,19.65,62.7902,7.1082,15.95,19.662,2.2258,19.96,21.627,2.4483,14.51,29.4756,3.3368
CING_HUMAN,Cingulin OS=Homo sapiens GN=CGN PE=1 SV=2,30.99,59.3957,8.1143,17.21,19.0681,2.605,NaN,NaN,NaN,24.98,13.209,1.8045,20.13,35.753,4.8844,23.31,37.3664,5.1048
HPBP1_HUMAN,Hsp70-binding protein 1 OS=Homo sapiens GN=HSPBP1 PE=1 SV=1,14.36,103.3167,4.1549,25.41,53.3684,2.1462,32.32,25.7415,1.0352,NaN,NaN,NaN,9.39,15.3848,0.6187,11.33,50.8039,2.0431
PSB3_HUMAN,Proteasome subunit beta type-3 OS=Homo sapiens GN=PSMB3 PE=1 SV=2,48.78,379.0136,8.806,NaN,NaN,NaN,52.2,172.8453,4.0159,56.1,118.0313,2.7424,59.51,106.1261,2.4657,60,220.2526,5.1174
CSTFT_HUMAN,Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens GN=CSTF2T PE=1 SV=1,36.36,54.7555,3.5408,NaN,NaN,NaN,29.06,10.1216,0.6545,25.16,7.7831,0.5033,29.06,7.1184,0.4603,16.88,14.0555,0.9089
TRXR1_HUMAN,Thioredoxin reductase 1_ cytoplasmic OS=Homo sapiens GN=TXNRD1 PE=1 SV=3,39.29,170.4418,12.225,47.3,537.803,38.5742,25.42,52.248,3.7475,NaN,NaN,NaN,19.72,23.6608,1.6971,22.5,74.1143,5.3159
RNPS1_HUMAN,RNA-binding protein with serine-rich domain 1 OS=Homo sapiens GN=RNPS1 PE=1 SV=1,27.87,148.7883,5.0898,NaN,NaN,NaN,42.62,75.0394,2.567,26.56,27.4656,0.9396,30.82,53.6824,1.8364,31.48,93.8233,3.2095
DRG1_HUMAN,Developmentally-regulated GTP-binding protein 1 OS=Homo sapiens GN=DRG1 PE=1 SV=1,47.41,337.3079,13.7714,NaN,NaN,NaN,43.87,100.5216,4.104,37.87,59.951,2.4476,30.52,72.3615,2.9543,35.42,116.8712,4.7715
E2AK2_HUMAN,Interferon-induced_ double-stranded RNA-activated protein kinase OS=Homo sapiens GN=EIF2AK2 PE=1 SV=2,37.75,111.3359,6.9641,NaN,NaN,NaN,32.12,28.6147,1.7899,29.04,35.3488,2.2111,28.49,73.4451,4.594,34.12,51.6831,3.2328
KITH_HUMAN,Thymidine kinase_ cytosolic OS=Homo sapiens GN=TK1 PE=1 SV=2,27.78,131.5144,3.432,43.59,7.2854,0.1901,NaN,NaN,NaN,22.22,60.2186,1.5715,26.07,52.601,1.3727,8.97,73.7918,1.9257
TTC4_HUMAN,Tetratricopeptide repeat protein 4 OS=Homo sapiens GN=TTC4 PE=1 SV=3,32.56,42.7985,1.9341,12.14,7.4232,0.3355,NaN,NaN,NaN,13.95,25.7038,1.1616,21.96,33.2426,1.5023,23.26,56.6807,2.5615
